Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Areno Innovations Pvt Ltd,https://www.crunchbase.com/organization/areno-innovations-pvt-ltd,"Artificial Intelligence (AI), Fitness, Health Care, Software, Wellness","Bengaluru, Karnataka, India","For the first time get paid to do workouts with Areno !! Workout regularly, participate in competitions and win rewards.",,2022-03-09,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Pasbox,https://www.crunchbase.com/organization/pasbox,"Artificial Intelligence (AI), Blockchain, Chemical, Children, Genetics, Health Diagnostics, Health Insurance, Information Technology, Predictive Analytics","Hanoi, NA - Vietnam, Vietnam","Pasbox is a technology company focusing on healthcare, molecular biology using AI. We provide Solution As A Service to make life better.",,2023-01-06,day,,,,"Steven Tran, Thang Pham",1-10,Seed,2023-02-01,Seed,,,,,,,,,,Private,,,,,,,
Psyable,https://www.crunchbase.com/organization/psyable,"Artificial Intelligence (AI), Consumer Electronics, Health Care, Information Technology, Machine Learning, Marketplace, Software, Wellness","Tel Aviv, Tel Aviv, Israel",Transforming sci-fi to fact,,2022-01-01,year,,,,"Avishai Abrahami, Eli Bar-Yosef",1-10,,,,,,,,,,,,,Private,,,,,,,
Driven,https://www.crunchbase.com/organization/driven-976c,"Apps, Artificial Intelligence (AI), Corporate Training, Fitness, Health Care, Health Diagnostics, Information Technology, Machine Learning, Personal Health, Psychology","Sydney, New South Wales, Australia",Driven is a virtual coach in your pocket. We use narrative design & AI to help businesses improve the wellbeing of their people.,,2017-03-01,day,,,,"Jurie Rossouw, Luca Busin, Susan Whitmore",1-10,Seed,2019-12-04,Seed,,,,,,,,,,Private,,,,,,Operations,2
Logy.ai,https://www.crunchbase.com/organization/logy-ai,"Artificial Intelligence (AI), Health Care, Publishing","Hyderabad, Andhra Pradesh, India","Logy.ai offers AI solutions in the digital health sector, serving global healthcare brands.",,2019-01-01,year,,,,Priyanjit Ghosh,11-50,,,,,,,,,,,,,Private,,,,,,,
Focusteck,https://www.crunchbase.com/organization/focusteck-2,"Artificial Intelligence (AI), Consulting, Health Care, Information Technology, Software Engineering","Lahore, Punjab, Pakistan",Focus-Driven Technology Partner,,2013-12-09,day,,,,Muhammad Adil Ali,51-100,,,,,,,,,,,,,Private,,,,,,"Engineering, Sales",4
Manentia AI,https://www.crunchbase.com/organization/manentia-ai,"Artificial Intelligence (AI), Consulting, Health Care, Professional Services, Software","Gandhinagar, Gujarat, India",Manentia AI helps radiologists and scientists in clinical laboratories by offering solutions for analyzing and detecting medical imaging.,,2020-01-01,year,,,,"Anuj Chandalia, Suchi Panchal",1-10,,,,,,,,,,,,,Private,,,,,,,
Solo,https://www.crunchbase.com/organization/solo-2416,"Artificial Intelligence (AI), Health Care, Mental Health, Social Impact, Wellness","Zicron Jacob, Hefa, Israel",Solo develops an emotional wellbeing AI that helps the population improve mental health using facial biomarkers and emotion-based insights.,,2018-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
NuQare,https://www.crunchbase.com/organization/nuqare,"Artificial Intelligence (AI), Health Care, Medical, mHealth, Software","Thane, Maharashtra, India",NuQare develops and operates software and digital platform using AI technology to connect cancer patients and healthcare specialists.,,2020-01-01,year,,,,Vikiraj Hinger,,,,,,,,,,,,,,Private,,,,,,,
Skin Minds,https://www.crunchbase.com/organization/skin-minds,"Artificial Intelligence (AI), Beauty, Health Care","Mumbai, Maharashtra, India",AI based personalized dermatology and beauty-tech platform to look your very best.,,2022-11-17,day,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
BioMind,https://www.crunchbase.com/organization/biomind,"Artificial Intelligence (AI), Health Care","Singapore, Central Region, Singapore",BioMind is developed in collaboration with the world's largest hospital for neurological diseases.,,2017-01-01,year,,,,Raymond Moh,51-100,,,,,,,,,,,,,Private,,,,,,,
Brain Navi Biotechnology,https://www.crunchbase.com/organization/brain-navi-biotechnology,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical","Hsinchu, T'ai-wan, Taiwan",Brain Navi develops innovative neuroscience technique that provides precision and safety.,,2015-08-06,day,,,,"Harn Hong-zhi, Jerry Chen, Lin Shinn-Zong",11-50,Seed,2020-09-17,Non-equity Assistance,,,,,,,,,,Private,,,,,,Engineering,1
SmartPeep,https://www.crunchbase.com/organization/smartpeep,"Artificial Intelligence (AI), Computer Vision, Elder Care, Health Care, Machine Learning, SaaS, Software","Singapore, Central Region, Singapore","We monitor patients and elderly people in ward with cameras, enabling nurses to get notified for emergent situations.",,2017-07-01,day,,,,Meng Hui Lim,1-10,Seed,2017-07-31,Seed,,,,,,,,,,Private,,,,,,,
DeepRad.AI,https://www.crunchbase.com/organization/deeprad-ai,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software","Taipei, T'ai-pei, Taiwan","Deeprad.AI is an innovative medical imaging company harnessing the power of AI to revolutionize radiology, with a focus on early detection.",,2023-01-01,year,,,,"Cheng-Yu Chen, David Chen, Yao-Chi Chang",11-50,,,,,,,,,,,,,Private,,,,,,,
AgriTalk Technology Inc.,https://www.crunchbase.com/organization/agritalk-technology-inc,"Agriculture, AgTech, Artificial Intelligence (AI), Biotechnology, Health Care","Hsinchu, T'ai-wan, Taiwan",AgriTalk provide precision agricultural solution by customizing soil microbiome AI and recommend suitable fertilizing decision.,,2019-01-01,year,,,,,1-10,Seed,2019-09-01,Pre-Seed,,,,,,,,,,Private,,,,,,,
MediVR,https://www.crunchbase.com/organization/medivr-9afd,"Artificial Intelligence (AI), Augmented Reality, Health Care, Information Technology, Medical, Natural Language Processing, Virtual Reality","Singapore, Central Region, Singapore",Artificial Intelligence Virtual Patient in Mixed Reality and Virtual Reality,,2021-09-28,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Spinacle,https://www.crunchbase.com/organization/spinacle,"Artificial Intelligence (AI), Database, Health Care, Health Diagnostics, Machine Learning, Software","Chennai, Tamil Nadu, India",Spinacle is an AI company that develops software to handle modern complex challenges .Currently working in Healthcare Sector,,2022-02-10,day,,,,"Nishaalu Selvakumar, Santhosh Kumar Ethiraj",1-10,,,,,,,,,,,,,Private,,,,,,,
Ensofy,https://www.crunchbase.com/organization/ensofy,"Artificial Intelligence (AI), Health Care, Mental Health, Software, Wellness","Tbilisi, Dushet'is Raioni, Georgia",Ensofy develops an AI-enabled mental health monitoring tool for mental health disorders.,,2021-01-01,year,,,,"Irakli Lezhava, Iveri Prangishvili",1-10,Seed,2022-08-02,Pre-Seed,,,,,,,,,,Private,,,,,,,
Stethy,https://www.crunchbase.com/organization/stethy,"Artificial Intelligence (AI), Enterprise Software, Health Care, Industrial Automation, Life Science, Software","Sydney, New South Wales, Australia",Stethy provides industry-grade life science AI to automate mission critical workflows.,,2018-01-01,year,,,,,1-10,,2022-10-06,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Propel Health AI,https://www.crunchbase.com/organization/propel-health-ai,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care","Brisbane, Queensland, Australia","Propel Health AI is a tech firm offering a healthcare data and AI platform for processing, curating, and sharing multimodal real-world data.",,2023-01-01,year,,,,Navid Toosi Saidy,11-50,,,,,,,,,,,,,Private,,,,,,,
Zensark,https://www.crunchbase.com/organization/zensark,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Hyderabad, Andhra Pradesh, India",Zensark is a technology services company with a footprint in the US and India,,2003-01-01,year,,,,Manmohan Jain,11-50,,,,,,,,,,,,,Private,,,,,,"Engineering, Operations",4
dGav Capital,https://www.crunchbase.com/organization/dgav-capital,"Artificial Intelligence (AI), Biotechnology, Electric Vehicle, Health Care, Venture Capital","Shanghai, Shanghai, China",dGav Capital is a venture capital firm focusing on investing in and working with startups of disruptive technologies to create new values.,,2011-01-01,year,2,,,Leo Tong Chen,,,,,,,,,,,,,,Private,,,,,,,
Baibys,https://www.crunchbase.com/organization/baibys,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical, Robotics","Tel Aviv, Tel Aviv, Israel",Baibys is a medical automated platform that provides AI and robotics-based autonomous sperm selection solutions for IVF.,,2000-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Physique AI,https://www.crunchbase.com/organization/physique-ai,"Apps, Artificial Intelligence (AI), Health Care, Software","Mumbai, Maharashtra, India",Physique AI is an AI-powered fitness training app that gives 1-on-1 feedback to correct posture mistakes and encouragement to do more.,,1902-01-01,year,,,,"Aman Mittal, Aman Mittal, Jay Patel, Jay Patel, Vignesh Prabhu, Vignesh Prabhu",1-10,,,,,,,,,,,,,Private,,,,,,,
iNICU,https://www.crunchbase.com/organization/inicu,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","New Delhi, Delhi, India",iNICU is a Medical Devices Technology Company.,,2016-01-01,year,,,,"Gautam Yadav, Harpreet Singh, Ravneet Kaur",11-50,Seed,2018-07-10,Seed,,,,,,,,,,Private,,,,,,,
Resmetrix Medical,https://www.crunchbase.com/organization/resmetrix-medical,"Artificial Intelligence (AI), Health Care, Manufacturing, Product Design, Wearables","Haifa, Hefa, Israel",Resmetrix is a medical device manufacturing company that offers a wearable wireless sensor for monitoring breathing patterns.,,2017-01-01,day,,,,"Ari DeRowe, Carmit Levy, Zvi Reznic",1-10,,,,,,,,,,,,,Private,,,,,,,
Intellicuria,https://www.crunchbase.com/organization/intellicuria,"Artificial Intelligence (AI), Health Care, Machine Learning, Natural Language Processing","Patna City, Bihar, India",Healthcare AI Company,,2023-08-01,month,,,,Mrinmoy Das,1-10,,,,,,,,,,,,,Private,,,,,,,
InnovoBloc,https://www.crunchbase.com/organization/innovobloc,"Artificial Intelligence (AI), Blockchain, Cloud Security, Document Management, Health Care, SaaS","Seoul, Seoul-t'ukpyolsi, South Korea","SaaS, B2B, Cloud, E-signiture, DMS, Healthcare, AI, Blockchain",,2022-02-25,day,,,,Tyler Sahib,1-10,,,,,,,,,,,,,Private,,,,,,,
NEAR Brain,https://www.crunchbase.com/organization/near-brain,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Software","Seoul, Seoul-t'ukpyolsi, South Korea",NEAR Brain develops AI-based digital twin platform for tracing brain-related diseases.,,2022-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Head Habitat,https://www.crunchbase.com/organization/head-habitat,"Artificial Intelligence (AI), Health Care, Health Insurance, InsurTech, Internet, Medical, Mental Health, Retail, Software","Tel Aviv, Tel Aviv, Israel","Accelerating The Transition To Data-Driven, Value-Based Mental Healthcare",,2021-01-01,year,,,,"Eliott Reich, Lior Schunder, Rotem Sade",1-10,,,,,,,,,,,,,Private,,,,,,,
D14.AI,https://www.crunchbase.com/organization/d14-ai,"Artificial Intelligence (AI), Health Care, Information Technology, Logistics, Machine Learning, Medical, Software","Dubai, Dubai, United Arab Emirates",Perfect Schedules in minutes,,2018-07-01,day,,,,Melda Akin,11-50,,,,,,,,,,,,,Private,,,,,,,
MileBot Robotics,https://www.crunchbase.com/organization/milebot-robotics,"Artificial Intelligence (AI), Health Care, Internet, Internet of Things, Robotics, Sensor","Shenzhen, Guangdong, China",MileBot Robotics is a robot start-up company in the field of medical and health.,,2016-01-01,year,,,,,101-250,,2022-02-23,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Spline.ai,https://www.crunchbase.com/organization/splineai,"Artificial Intelligence (AI), Health Care, Software","Bangalore, Karnataka, India",Spline.ai is a software company that develops tools and products for the healthcare sector.,,2018-01-01,year,,,,Syed Hussain,11-50,,,,,,,,,,,,,Private,,,,,,,
Agnos health,https://www.crunchbase.com/organization/agnos-health,"Artificial Intelligence (AI), Health Care, Information Technology","Bangkok, Krung Thep, Thailand","AI digital health front door for health provider, insurance, and others",,2019-01-01,year,,,,Paphonwit Chaiwatanodom,11-50,,,,,,,,,,,,,Private,,,,,,,1
MediMe,https://www.crunchbase.com/organization/medime-ltd,"Analytics, Artificial Intelligence (AI), Health Care, InsurTech, Medical, Open Source","Tel Aviv, Tel Aviv, Israel",MediMe is a technology development company that generates health profiling using AI and ML data sources.,,2020-01-01,day,,,,Eli Walles,1-10,,,,,,,,,,,,,Private,,,,,,,
Viscera AI,https://www.crunchbase.com/organization/viscera-ai,"Artificial Intelligence (AI), Dental, Health Care, Machine Learning, Software","Tel Aviv, Tel Aviv, Israel",Viscera AI provides a platform based on artificial intelligence to help serve the needs of dentists.,,2019-01-01,day,,,,Asaf Moses,1-10,,,,,,,,,,,,,Private,,,,,,,
Flaskdata.io,https://www.crunchbase.com/organization/flaskdata-io,"Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning","Modi'in, HaMerkaz, Israel",Same day clinical data and patient safety solutions for clinical trials,,2014-01-01,day,,,,"Danny Lieberman, Jenya Konikov-Rozenman",1-10,,,,,,,,,,,,,Private,,,,,,,
Nirvana,https://www.crunchbase.com/organization/neurasense-technologies-private-limited,"Apps, Artificial Intelligence (AI), Health Care, Software, Wellness","Delhi, Delhi, India",Nirvana provides a personalized holistic health and mindfulness solution based on how a person is feeling at the time.,,2021-09-08,day,,,,Shivam Sharma,1-10,,,,,,,,,,,,,Private,,,,,,,
Pomicell,https://www.crunchbase.com/organization/pomicell,"Artificial Intelligence (AI), Big Data, Biotechnology, Machine Learning, mHealth, Pharmaceutical","Jerusalem, Yerushalayim, Israel",Pomicell is an AI-powered machine learning platform making big data usable for biotech companies,,2017-11-01,day,,,,Boaz Buchandler,11-50,,,,,,,,,,,,,Private,,,,,,,
YA Appscent Ltd.,https://www.crunchbase.com/organization/ya-appscent-ltd,"Artificial Intelligence (AI), Big Data, Health Diagnostics, Medical Device","Ra'anana, HaMerkaz, Israel","Appscent Ltd. is a privately-held Israeli company, developing an advanced artificial intelligence medical device.",,2017-01-01,day,,,,"Amos Porat, David Vardi, Yosi Azoulay",1-10,,,,,,,,,,,,,Private,,,,,,,
Infinite Intelligent Pharma,https://www.crunchbase.com/organization/infinite-intelligent-pharma,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Beijing, Beijing, China",Infinite Intelligent Pharma is a start-up company that uses AI applications in drug discovery.,,2019-06-01,month,,,,Pei Jianfeng,,,,,,,,,,,,,,Private,,,,,,,
Actics Medical,https://www.crunchbase.com/organization/actics-medical,"Artificial Intelligence (AI), Diabetes, Health Care, Internet of Things, Medical Device, Personal Health, Therapeutics, Wearables, Wellness","Rehovot, HaMerkaz, Israel",Actics is a dynamic digital health company that transforms foot therapy — from pre-diagnosis through mobility challenges to rehabilitation,,2020-01-01,year,,,,Ron Machanian,1-10,,,,,,,,,,,,,Private,,,,,,,
Alyce Healthcare,https://www.crunchbase.com/organization/alyce-healthcare,"Artificial Intelligence (AI), Health Care, Rehabilitation","Seoul, Seoul-t'ukpyolsi, South Korea",Alyce Healthcare specializes in providing AI rehabilitation solutions.,,2018-01-01,year,,,,Dia Kang,1-10,Seed,2021-05-25,Seed,,,,,,,,,,Private,,,,,,,
HT BioImaging,https://www.crunchbase.com/organization/ht-bioimaging,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical","Hod Hasharon, HaMerkaz, Israel",HT BioImaging is a revolutionary patented medical imaging platform technology with the mission to detect & classify cancer early on the spot,,2015-01-01,year,,,,"Gideon Barak, Shani Toledano",11-50,,2020-07-09,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,2
pakku,https://www.crunchbase.com/organization/pakku,"Artificial Intelligence (AI), Dietary Supplements, Health Care, Nutrition","Taichung, T'ai-wan, Taiwan",Personalized Nutrition,,2021-08-12,day,,,,Patrick Wang,11-50,Seed,2022-05-01,Seed,,,,,,,,,,Private,,,,,,,
CatAI,https://www.crunchbase.com/organization/catai,"Apps, Artificial Intelligence (AI), Health Care, Hospital, Medical","Herzliya, Tel Aviv, Israel",CatAI is an AI-powered personal healthcare monitoring system.,,2021-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Performance Lab,https://www.crunchbase.com/organization/performance-lab,"Analytics, Artificial Intelligence (AI), Fitness, Health Care","Takapuna, Auckland, New Zealand",Performance Lab is a product and technology development company.,,1987-01-01,year,,,,"Jon Ackland, Kerri McMaster",11-50,M&A,2014-06-26,Venture - Series Unknown,Performance Lab acquired by PEAR Health Labs,https://www.crunchbase.com/acquisition/pear-sports-acquires-performance-lab--3956f344,PEAR Health Labs,https://www.crunchbase.com/organization/pear-sports,2020-05-07,day,,,,Private,,,,,,,
Echo IQ,https://www.crunchbase.com/organization/echo-iq,"Artificial Intelligence (AI), Health Diagnostics, Software","Sydney, New South Wales, Australia",Echo IQ specializes in developing an AI diagnostic tool that revolutionizes structural heart disease diagnosis.,,,,,,,,11-50,M&A,,,Echo IQ acquired by Houston We Have,https://www.crunchbase.com/acquisition/houston-we-have-acquires-echo-iq--9868d72c,Houston We Have,https://www.crunchbase.com/organization/houston-we-have,2021-07-01,month,,,,Private,,,,,,,
Dave Group,https://www.crunchbase.com/organization/dave-group,"Agriculture, Artificial Intelligence (AI), Business Intelligence, Health Care, Information Technology","Indore, Madhya Pradesh, India","Dave group is an national conglomerate that owns and operates companies in technologies, agriculture , hospitality, AI and more industries.",,2022-05-18,day,,,,Aakash Dave,11-50,,,,,,,,,,,,,Private,,,,,,,
Manodayam,https://www.crunchbase.com/organization/manodayam,"Artificial Intelligence (AI), Mental Health, Online Portals","Lucknow, Uttar Pradesh, India",Manodayam is an online artificial intelligence based platform for mental and emotional health assistance.,,2020-01-01,year,,,,,1-10,Seed,2022-01-01,Seed,,,,,,,,,,Private,,,,,,,
Westlake Omics,https://www.crunchbase.com/organization/westlake-omics,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical","Hangzhou, Zhejiang, China",Westlake Omics focuses on applying mass spectrometry-based proteomics and other Omics technologies to address pressing clinical needs.,,2020-06-01,month,,,,,11-50,Seed,2022-01-13,Seed,,,,,,,,,,Private,,,,,,,
ByteCorp,https://www.crunchbase.com/organization/bytecorp,"Artificial Intelligence (AI), Computer Vision, Health Care, Information Technology, Software","Karachi, Sindh, Pakistan",AI Solutions and Prooducts,,2019-05-17,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
TytoCare Israel,https://www.crunchbase.com/organization/tytocare-israel,"Artificial Intelligence (AI), Health Care, Telehealth","Netanya, HaMerkaz, Israel",TytoCare is a telehealth platform for AI-powered and on-demand remote medical examinations.,,2011-01-01,year,,,,Ofer Tzadik,1-10,,,,,,,,,,,,,Private,,,,,,,
Simplex Quantum,https://www.crunchbase.com/organization/simplex-quantum,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Minato, Chiba, Japan",Simplex Quantum conducts research and development of AI-based solutions in the healthcare field and operates the SQ-bar service.,,2014-10-03,day,,,,,11-50,Early Stage Venture,2022-11-01,Series A,,,,,,,,,,Private,,,,,,,
Helios Bioelectronics,https://www.crunchbase.com/organization/helios-bioelectronics-inc,"Artificial Intelligence (AI), Cloud Computing, Health Care, Health Diagnostics, Medical","Hsinchu, T'ai-wan, Taiwan",Helios Bioelectronics provides BioFET platforms for the health care sector.,,2016-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
APMIC OpenTalk,https://www.crunchbase.com/organization/asia-pacific-machine-intelligence-company,"Artificial Intelligence (AI), Health Care, Information Technology, Internet of Things, Software","Taipei, T'ai-pei, Taiwan",APMIC OpenTalk provides AI and IoT services for healthcare industry.,,2017-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
Aindra,https://www.crunchbase.com/organization/aindra,"Artificial Intelligence (AI), Health Diagnostics, Machine Learning, Software","Bengaluru, Karnataka, India",Aindra is working in domain of Artificial Intelligence and specifically in the area of Computer Vision.,,2012-01-01,year,,,,Adarsh Natarajan,11-50,,,,,,,,,,,,,Private,,,,,,Marketing,1
xStasis,https://www.crunchbase.com/organization/xstasis,"Artificial Intelligence (AI), Health Care, Machine Learning","Dubai, Dubai, United Arab Emirates","xStasis is a preventive lifestyle solution company, offering a revolutionary 360° platform that promotes optimal health, balance, and joy.",,2023-01-01,month,,,,"Anirudh Kumar, Luke Coutinho",51-100,,,,,,,,,,,,,Private,,,,,,,
SymbionIQ Labs,https://www.crunchbase.com/organization/symbioniq-labs,"Artificial Intelligence (AI), Big Data, Consumer Electronics, Fitness, Health Care, Marketplace, Web3","Auckland, Auckland, New Zealand",Health and Fitness Learning Management PAAS,,2022-06-10,day,,,,Jean-Philippe DIEL,1-10,,,,,,,,,,,,,Private,,,,,,,
EMC Healthcare,https://www.crunchbase.com/organization/emc-healthcare-22ac,"Artificial Intelligence (AI), Business Development, Health Care","Otemachi, Tokyo, Japan","EMC Healthcare provides management strategy, healthcare, data science, AI and business development services.",,2017-02-01,day,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Impute,https://www.crunchbase.com/organization/impute,"Artificial Intelligence (AI), Health Care, Information Technology, Internet of Things","Tokyo, Tokyo, Japan","Impute is a digital medicine that offers artificial intelligence, IoT, and green tech solutions for neurological disorders.",,2017-01-01,year,,,,,11-50,,2022-01-13,Venture - Series Unknown,,,,,,,,,,Private,,,,,,Pro Services,1
Metanoa,https://www.crunchbase.com/organization/metanoa,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Home Health Care, Psychology, Rehabilitation","Kochi, Kerala, India","We empowers parents & clinics to detect, quantify & track progress of disorders like Autism, ADHD, Learning Disabilities etc in early stage",,2019-02-20,day,,,,Vibin Varghese,1-10,,,,,,,,,,,,,Private,,,,,,,
CoBe Labs,https://www.crunchbase.com/organization/cobe-labs,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness","Tel Aviv-yafo, Tel Aviv, Israel",AI for early detection and treatment of teens' anxiety,,2020-01-01,year,,,,Haddas Herzog Manor,1-10,,,,,,,,,,,,,Private,,,,,,"Engineering, Management, Operations",6
Wis2Biz,https://www.crunchbase.com/organization/wis2biz,"Artificial Intelligence (AI), Health Care","Tel Aviv-yafo, Tel Aviv, Israel","AI platform for medical centers and weight loss companies, that predicts and prevents dropouts ahead of time",,2017-02-21,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Selfit Medical,https://www.crunchbase.com/organization/selfit-medical,"Artificial Intelligence (AI), Augmented Reality, Big Data, Health Care, Machine Learning","Ramat Hasharon, Tel Aviv, Israel",Selfit Medical is a smart digital therapy platform for the aging population.,,2017-01-01,year,,,,"Amit Katz, Shahar Figelman",1-10,,,,,,,,,,,,,Private,,,,,,,
3 Dot Digital,https://www.crunchbase.com/organization/3-dot-digital,"Artificial Intelligence (AI), Enterprise Software, Health Care, Information Technology, Software","Brisbane, Queensland, Australia","3 Dot Digital is a leading technology service provider engaged in the application of Advanced Analytics, Artificial Intelligence.",,2018-01-01,year,,,,Bhanu Sud,11-50,,,,,,,,,,,,,Private,,,,,,Management,1
Personal Health Tech,https://www.crunchbase.com/organization/personal-health-tech,"Artificial Intelligence (AI), Health Care, Information Technology","Osaka, Osaka, Japan",Personal Health Tech is a business development firm that develops online platforms and AI-based healthcare management services.,,2022-02-17,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Manastik,https://www.crunchbase.com/organization/manastik,"Artificial Intelligence (AI), Health Care, Mobile Apps","Pune, Maharashtra, India","Manastik offers AI-based neuro rehabilitation services, including personalized cognitive exercises and therapies for brain recovery.",,2021-01-01,year,,,,"Akshay Sancheti, Pushkraj Marne, Soubhik Das",11-50,,,,,,,,,,,,,Private,,,,,,,
YStory,https://www.crunchbase.com/organization/ystory,"Artificial Intelligence (AI), Health Care, Medical, Mobile Apps","Roppongi, Tokyo, Japan",YStory is a digital health firm that uses AI and medical science to improve women health during menopause.,,2023-01-01,month,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
ODMachine,https://www.crunchbase.com/organization/odmachine,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Information Technology, Machine Learning, Professional Services, Software","Herzliya, Tel Aviv, Israel","ODMachine provides healthcare cloud solutions including analytic tools, industry-leading data, and AI-driven solutions and products.",,2018-01-01,year,,,,,101-250,,,,,,,,,,,,,Private,,,,,,,
Minds AI,https://www.crunchbase.com/organization/minds-ai-0a73,"Advice, Artificial Intelligence (AI), Biotechnology, Health Care, Mental Health, Training","Seoul, Seoul-t'ukpyolsi, South Korea","Minds AI provides artificial intelligence, biotechnology, and mental health services with the help of training, education, and counseling.",,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
GomiLabs,https://www.crunchbase.com/organization/gomilabs,"Artificial Intelligence (AI), Health Care, Internet of Things, Pet","Seoul, Seoul-t'ukpyolsi, South Korea",GomiLabs is a pet healthcare platform based on AI robot.,,2015-09-01,day,,,,"Heeman Park, Insu Kim, Moongang Jung",1-10,Seed,2018-09-14,Seed,,,,,,,,,,Private,,,,,,,
CoachAi,https://www.crunchbase.com/organization/coachai,"Artificial Intelligence (AI), Fitness, Health Care, Psychology, Software, Wellness","Herzliya, Tel Aviv, Israel",CoachAi uses artificial intelligence and behavioral psychology to create lasting behavioral change.,,2016-01-01,year,,,,"Nadav Sela, Shai Neiger",,,,,,,,,,,,,,Private,,,,,,,
Ever Medical Technologies,https://www.crunchbase.com/organization/ever-medical-technologies,"Analytics, Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care","Bangkok, Krung Thep, Thailand","Ever Medical Technologies provides innovation in the hospital system, data exchange platform, AI and health data engineering services.",,2017-01-01,year,,,,"John Jiang, José Morey, Plan Bhanusich Chomanan",101-250,,,,,,,,,,,,,Private,,,,,,Management,1
Adarix,https://www.crunchbase.com/organization/adarix,"Artificial Intelligence (AI), Cyber Security, Health Care, Information Technology","Herzliya, Tel Aviv, Israel","Adarix is a technology company that specializes in AI machining and security solutions in cyber, pharma, and healthcare.",,,,,,,,101-250,,,,,,,,,,,,,Private,,,,,,,
Youth Laboratories,https://www.crunchbase.com/organization/youth-laboratories,"Artificial Intelligence (AI), Beauty, Bioinformatics, Cosmetics, Health Care, Information Technology, mHealth, Personal Health","Hong Kong, Hong Kong Island, Hong Kong",Artificial Intelligence for the impartial analysis of skin health & testing the efficiency of anti-aging products,,2015-08-15,day,,,,Alex Zhavoronkov,1-10,,,,,,,,,,,,,Private,,,,,,,
Virusight Diagnostic,https://www.crunchbase.com/organization/virusight-diagnostics,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Home Health Care, Machine Learning, Medical Device, Software","Ness Ziona, HaMerkaz, Israel",AI SaaS Solution for Fast and Reliable Pathogens Detection,,2020-10-01,month,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Fertsy,https://www.crunchbase.com/organization/fertsy,"Artificial Intelligence (AI), Health Care, Medical","Haidian, Beijing, China","Shengshengyi is a supplier of consumables, equipment, and software for artificial intelligence assisted reproduction.",,2023-06-29,day,,,,,,Seed,2024-01-08,Angel,,,,,,,,,,Private,,,,,,,
Medivitals,https://www.crunchbase.com/organization/medivitals,"Artificial Intelligence (AI), Health Care, Information Technology, Medical Device","Perth, Western Australia, Australia",Medivitals is a health care company that offer remote patient bio-marker monitoring and clinical decision support platform.,,2020-01-01,month,,,,"Warren Harding, Yogesan Kanagasingam",1-10,,,,,,,,,,,,,Private,,,,,,,
